year,month,day,pcp,ave_temp,max_temp
2013,4,15,0.71,58.2,71.7
2013,5,15,0.62,63.8,77.5
2013,6,15,0.38,72.4,87.2
2013,7,15,0.28,78,92.7
2013,8,15,0.38,74.4,89
2013,9,15,0.77,69.3,83.1
2013,10,15,0.26,58.5,72.5
2013,11,15,0.99,51.9,63.7
2013,12,15,0.44,44.1,56.2
2014,1,15,0.54,50.1,63
2014,2,15,4.02,49.8,60.6
2014,3,15,3.28,53.5,65.3
2014,4,15,1.06,57.7,71
2014,5,15,0.35,64.6,78.8
2014,6,15,0.06,71.9,87.1
2014,7,15,0.22,78.4,92.7
2014,8,15,0.45,74.9,89
2014,9,15,0.72,72.2,86.2
2014,10,15,1.06,64.4,78.1
2014,11,15,1.84,53.1,64.2
2014,12,15,6.3,46.8,54.6
2015,1,15,0.65,48.6,59.4
2015,2,15,2.86,53.2,65
2015,3,15,0.78,56.9,70.2
2015,4,15,1.06,56.7,70.3
2015,5,15,0.93,60.8,73.2
2015,6,15,0.23,74.4,89.1
2015,7,15,0.66,75,88.5
2015,8,15,0.08,76.5,91
2015,9,15,0.33,72.1,86.2
2015,10,15,0.9,65,77.5
2015,11,15,1.87,47.6,59
2015,12,15,4.69,42.3,51.7
2016,1,15,6.39,44.5,52.9
2016,2,15,1.21,51.8,64.2
2016,3,15,4.88,52.5,63.7
2016,4,15,1.52,57.9,70.4
2016,5,15,0.77,62.2,74.8
2016,6,15,0.27,73.5,88.3
2016,7,15,0.06,76.8,91.9
2016,8,15,0.06,76.2,91.2
2016,9,15,0.1,69.5,84.2
2016,10,15,3.82,60.5,72
2016,11,15,2.16,52.8,63.7
2016,12,15,4.49,43.4,53
2017,1,15,9.92,42.2,50.3
2017,2,15,7.94,47.3,55.6
2017,3,15,2.45,53.4,65.1
2017,4,15,2.76,55.6,67.7
2017,5,15,0.43,63.4,77.2
2017,6,15,0.26,72.8,87.3
2017,7,15,0.09,78.8,93.7
2017,8,15,0.27,77.9,92.1
2017,9,15,0.43,69.8,83.1
2017,10,15,0.34,62,76.5
2017,11,15,2.98,53.4,63.7
2017,12,15,0.3,47.5,59.7
2018,1,15,3.33,48.9,58.6
2018,2,15,0.57,46.6,59
2018,3,15,5.12,49,59.7
2018,4,15,2.13,57.2,70
2018,5,15,0.66,63,75.9
2018,6,15,0.07,71.4,86.5
2018,7,15,0.22,79.6,94
2018,8,15,0.04,76.4,91
2018,9,15,0.06,71.1,86
2018,10,15,0.7,60.9,73.5
2018,11,15,2.81,52.6,64.5
2018,12,15,2.38,44.8,53.8
2019,1,15,5.23,46.1,55.2
2019,2,15,8.57,40.6,49.2
2019,3,15,4.05,48.9,59.2
2019,4,15,1.22,58.2,70.3
2019,5,15,2.5,58.6,70.2
2019,6,15,0.09,71.1,85.3
2019,7,15,0.08,75.5,90
2019,8,15,0.13,76.8,91.5
2019,9,15,0.61,68.9,82.5
2019,10,15,0.16,58.8,73.3
2019,11,15,1.61,53,65.6
2019,12,15,4.87,44.4,52.2
2020,1,15,2.06,45.3,55.1
2020,2,15,0.21,49.2,62.1
2020,3,15,3.2,48,58.3
2020,4,15,1.98,56.6,68.6
2020,5,15,1.2,64.6,78.4
2020,6,15,0.16,70.5,84.9
2020,7,15,0.05,76.6,92
2020,8,15,0.09,78.9,93.6
2020,9,15,0.04,74,88.8
2020,10,15,0.05,66.3,81.2
2020,11,15,1.19,50.9,63.2
2020,12,15,1.83,45.5,56.7
2021,1,15,3.65,45.5,55.5
2021,2,15,1.39,47.4,58.8
2021,3,15,1.73,48.2,60.3
2021,4,15,0.27,58.4,72.6
